Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,8.980000,9.005000,8.770000,8.875000,8.875000,61200
2018-09-11,8.775000,8.780000,8.750000,8.750000,8.750000,22800
2018-09-12,8.725000,8.810000,8.700000,8.700000,8.700000,46000
2018-09-13,8.705000,8.705000,8.500000,8.530000,8.530000,30600
2018-09-14,8.515000,8.715000,8.430000,8.500000,8.500000,52200
2018-09-17,8.440000,8.545000,8.195000,8.485000,8.485000,66400
2018-09-18,8.540000,8.540000,8.250000,8.300000,8.300000,45000
2018-09-19,8.365000,8.635000,8.365000,8.515000,8.515000,33800
2018-09-20,8.505000,8.615000,8.340000,8.490000,8.490000,95800
2018-09-21,8.555000,8.560000,8.450000,8.535000,8.535000,41400
2018-09-24,8.480000,8.620000,8.450000,8.590000,8.590000,20800
2018-09-25,8.535000,8.570000,8.265000,8.290000,8.290000,45800
2018-09-26,8.270000,8.275000,8.090000,8.165000,8.165000,73800
2018-09-27,8.175000,8.230000,8.075000,8.125000,8.125000,25600
2018-09-28,8.100000,8.235000,8.060000,8.075000,8.075000,51600
2018-10-01,8.110000,8.230000,8.110000,8.175000,8.175000,8800
2018-10-02,8.140000,8.160000,8.060000,8.060000,8.060000,19400
2018-10-03,8.085000,8.380000,8.085000,8.190000,8.190000,13200
2018-10-04,8.235000,8.370000,8.135000,8.265000,8.265000,26600
2018-10-05,8.260000,8.370000,8.220000,8.255000,8.255000,21200
2018-10-08,8.240000,8.240000,8.075000,8.175000,8.175000,24200
2018-10-09,8.140000,8.370000,8.100000,8.250000,8.250000,36400
2018-10-10,8.240000,8.330000,8.115000,8.125000,8.125000,28000
2018-10-11,8.220000,8.360000,8.165000,8.315000,8.315000,13200
2018-10-12,8.325000,8.365000,8.115000,8.190000,8.190000,47200
2018-10-15,8.100000,8.335000,8.000000,8.075000,8.075000,69000
2018-10-16,8.075000,8.145000,7.990000,8.045000,8.045000,92600
2018-10-17,8.070000,8.075000,8.000000,8.075000,8.075000,86200
2018-10-18,8.030000,8.125000,7.955000,8.100000,8.100000,127200
2018-10-19,8.075000,8.075000,7.935000,7.940000,7.940000,16800
2018-10-22,8.010000,8.055000,7.795000,7.795000,7.795000,17000
2018-10-23,7.710000,7.935000,7.710000,7.920000,7.920000,2200
2018-10-24,7.755000,7.995000,7.430000,7.440000,7.440000,62400
2018-10-25,7.515000,7.790000,7.000000,7.000000,7.000000,23200
2018-10-26,7.050000,8.185000,7.050000,7.120000,7.120000,42000
2018-10-29,7.200000,7.230000,6.600000,6.850000,6.850000,224200
2018-10-30,6.825000,7.560000,6.825000,7.440000,7.440000,14400
2018-10-31,7.475000,7.525000,7.130000,7.405000,7.405000,17000
2018-11-01,7.405000,7.535000,7.110000,7.230000,7.230000,45400
2018-11-02,7.235000,7.660000,7.235000,7.550000,7.550000,13000
2018-11-05,7.550000,7.610000,7.335000,7.530000,7.530000,21800
2018-11-06,7.535000,7.600000,7.190000,7.595000,7.595000,18000
2018-11-07,7.590000,7.850000,7.365000,7.785000,7.785000,17400
2018-11-08,7.680000,8.240000,7.350000,8.240000,8.240000,46600
2018-11-09,8.155000,8.225000,7.465000,7.810000,7.810000,32200
2018-11-12,7.825000,7.900000,7.450000,7.550000,7.550000,42600
2018-11-13,7.250000,7.820000,7.250000,7.720000,7.720000,94400
2018-11-14,7.695000,7.820000,7.355000,7.355000,7.355000,1800
2018-11-15,7.350000,7.745000,7.285000,7.665000,7.665000,49200
2018-11-16,7.660000,7.665000,7.410000,7.460000,7.460000,8200
2018-11-19,7.450000,7.635000,7.425000,7.630000,7.630000,19800
2018-11-20,7.540000,7.540000,7.450000,7.475000,7.475000,1400
2018-11-21,7.600000,7.605000,7.430000,7.435000,7.435000,10000
2018-11-23,7.495000,7.595000,7.425000,7.595000,7.595000,5800
2018-11-26,7.500000,7.585000,7.310000,7.310000,7.310000,25600
2018-11-27,7.345000,7.465000,7.070000,7.385000,7.385000,14800
2018-11-28,7.345000,7.600000,7.265000,7.520000,7.520000,20400
2018-11-29,7.465000,7.575000,7.305000,7.575000,7.575000,48800
2018-11-30,7.545000,7.545000,7.305000,7.305000,7.305000,4000
2018-12-03,7.385000,7.500000,7.345000,7.495000,7.495000,75600
2018-12-04,7.410000,7.510000,7.365000,7.415000,7.415000,67600
2018-12-06,7.360000,7.435000,7.245000,7.320000,7.320000,42400
2018-12-07,7.385000,7.385000,7.210000,7.360000,7.360000,15000
2018-12-10,7.400000,7.410000,7.360000,7.360000,7.360000,20800
2018-12-11,7.240000,7.545000,7.060000,7.325000,7.325000,17000
2018-12-12,7.075000,7.390000,7.075000,7.200000,7.200000,60800
2018-12-13,7.070000,7.120000,7.070000,7.120000,7.120000,1800
2018-12-14,7.165000,7.410000,6.755000,6.910000,6.910000,57200
2018-12-17,6.880000,7.140000,6.550000,6.715000,6.715000,18400
2018-12-18,6.685000,6.950000,6.600000,6.625000,6.625000,15600
2018-12-19,6.590000,6.760000,6.275000,6.275000,6.275000,10600
2018-12-20,6.300000,6.400000,6.175000,6.220000,6.220000,23400
2018-12-21,6.405000,6.410000,6.160000,6.160000,6.160000,23800
2018-12-24,6.145000,6.410000,6.145000,6.250000,6.250000,31600
2018-12-26,6.350000,6.440000,6.160000,6.260000,6.260000,54200
2018-12-27,6.230000,6.375000,6.200000,6.250000,6.250000,9800
2018-12-28,6.200000,6.490000,6.145000,6.240000,6.240000,34200
2018-12-31,6.350000,6.640000,6.295000,6.625000,6.625000,31600
2019-01-02,6.730000,7.145000,6.500000,7.145000,7.145000,8400
2019-01-03,6.870000,7.150000,6.825000,6.910000,6.910000,20200
2019-01-04,6.995000,7.250000,6.805000,6.805000,6.805000,12600
2019-01-07,6.780000,7.430000,6.755000,6.760000,6.760000,25000
2019-01-08,6.780000,7.050000,6.780000,7.050000,7.050000,15200
2019-01-09,6.760000,7.290000,6.760000,7.160000,7.160000,23400
2019-01-10,7.115000,7.145000,6.875000,6.885000,6.885000,15400
2019-01-11,6.940000,6.950000,6.750000,6.950000,6.950000,29800
2019-01-14,6.855000,7.000000,6.825000,6.825000,6.825000,1000
2019-01-15,6.775000,6.995000,6.775000,6.900000,6.900000,12800
2019-01-16,6.980000,6.990000,6.950000,6.990000,6.990000,5400
2019-01-17,6.770000,7.385000,6.770000,7.160000,7.160000,23400
2019-01-18,7.110000,7.110000,7.030000,7.075000,7.075000,11000
2019-01-22,7.015000,7.145000,7.000000,7.005000,7.005000,5200
2019-01-23,6.810000,7.175000,6.810000,7.150000,7.150000,6200
2019-01-24,7.075000,7.160000,7.075000,7.085000,7.085000,4800
2019-01-25,7.105000,7.105000,7.105000,7.105000,7.105000,600
2019-01-28,6.975000,6.975000,6.975000,6.975000,6.975000,800
2019-01-29,6.970000,6.970000,6.785000,6.845000,6.845000,14000
2019-01-30,6.900000,6.900000,6.800000,6.800000,6.800000,27400
2019-01-31,6.850000,6.860000,6.670000,6.725000,6.725000,15800
2019-02-01,6.815000,6.845000,6.480000,6.605000,6.605000,35800
2019-02-04,6.600000,6.935000,6.600000,6.745000,6.745000,14000
2019-02-05,6.810000,7.450000,6.710000,7.395000,7.395000,60600
2019-02-06,7.400000,7.470000,7.035000,7.410000,7.410000,17800
2019-02-07,7.390000,7.390000,7.215000,7.350000,7.350000,3400
2019-02-08,7.285000,7.505000,7.135000,7.500000,7.500000,24000
2019-02-11,7.500000,7.620000,7.235000,7.290000,7.290000,31400
2019-02-12,7.620000,8.105000,7.530000,7.815000,7.815000,66200
2019-02-13,7.830000,7.970000,7.750000,7.750000,7.750000,18400
2019-02-14,7.740000,7.850000,7.505000,7.550000,7.550000,10000
2019-02-15,7.745000,7.745000,7.380000,7.380000,7.380000,14600
2019-02-19,7.420000,7.455000,7.315000,7.455000,7.455000,4200
2019-02-20,7.440000,7.440000,7.190000,7.190000,7.190000,14200
2019-02-21,7.245000,7.355000,7.190000,7.355000,7.355000,15400
2019-02-22,7.230000,7.250000,7.150000,7.175000,7.175000,12600
2019-02-25,7.040000,7.200000,7.035000,7.035000,7.035000,7400
2019-02-26,7.065000,7.095000,7.000000,7.000000,7.000000,9200
2019-02-27,6.950000,7.055000,6.950000,6.950000,6.950000,7000
2019-02-28,6.940000,7.065000,6.790000,6.850000,6.850000,40400
2019-03-01,6.830000,7.095000,6.820000,7.075000,7.075000,24400
2019-03-04,7.085000,7.375000,7.000000,7.000000,7.000000,50400
2019-03-05,7.085000,7.500000,6.920000,7.030000,7.030000,21400
2019-03-06,7.025000,7.265000,6.940000,6.970000,6.970000,6600
2019-03-07,6.965000,7.330000,6.925000,6.925000,6.925000,22000
2019-03-08,7.035000,7.035000,6.675000,6.850000,6.850000,37800
2019-03-11,6.885000,7.260000,6.690000,6.770000,6.770000,24000
2019-03-12,6.780000,6.910000,6.775000,6.825000,6.825000,8800
2019-03-13,6.760000,7.005000,6.690000,6.900000,6.900000,4000
2019-03-14,6.885000,6.885000,6.785000,6.785000,6.785000,2800
2019-03-15,6.845000,6.845000,6.515000,6.515000,6.515000,71400
2019-03-18,6.625000,6.750000,6.555000,6.580000,6.580000,7400
2019-03-19,6.600000,6.760000,6.530000,6.630000,6.630000,36800
2019-03-20,6.530000,6.750000,6.530000,6.620000,6.620000,10800
2019-03-21,6.530000,6.700000,6.530000,6.560000,6.560000,10200
2019-03-22,6.625000,6.740000,6.580000,6.740000,6.740000,9800
2019-03-25,6.695000,6.775000,6.550000,6.680000,6.680000,4200
2019-03-26,6.640000,6.920000,6.585000,6.800000,6.800000,25600
2019-03-27,7.050000,7.050000,6.615000,6.795000,6.795000,55000
2019-03-28,6.715000,6.890000,6.680000,6.810000,6.810000,15000
2019-03-29,7.000000,8.015000,6.900000,7.680000,7.680000,67600
2019-04-01,7.630000,8.265000,7.500000,7.500000,7.500000,56600
2019-04-02,7.295000,7.560000,7.255000,7.450000,7.450000,19200
2019-04-03,7.000000,7.535000,6.880000,7.535000,7.535000,18800
2019-04-04,7.815000,7.835000,7.060000,7.060000,7.060000,36400
2019-04-05,7.210000,7.210000,7.025000,7.165000,7.165000,17800
2019-04-08,7.175000,7.405000,7.175000,7.205000,7.205000,9400
2019-04-09,7.470000,7.470000,6.855000,7.040000,7.040000,53200
2019-04-10,7.275000,7.275000,6.910000,7.200000,7.200000,12000
2019-04-11,7.060000,7.175000,6.850000,7.080000,7.080000,11000
2019-04-12,7.010000,7.245000,6.915000,7.200000,7.200000,31200
2019-04-15,6.910000,7.105000,6.900000,7.055000,7.055000,5200
2019-04-16,7.235000,7.235000,7.075000,7.075000,7.075000,1200
2019-04-17,7.160000,7.160000,6.800000,6.875000,6.875000,44600
2019-04-18,6.950000,7.115000,6.930000,7.065000,7.065000,13000
2019-04-22,6.920000,7.120000,6.920000,6.950000,6.950000,5400
2019-04-23,7.135000,7.135000,6.800000,6.965000,6.965000,13600
2019-04-24,6.965000,7.070000,6.965000,7.070000,7.070000,3200
2019-04-25,6.935000,6.960000,6.900000,6.955000,6.955000,6800
2019-04-26,6.940000,6.940000,6.850000,6.885000,6.885000,6200
2019-04-29,6.835000,6.855000,6.750000,6.835000,6.835000,20200
2019-04-30,6.795000,6.820000,6.600000,6.810000,6.810000,18200
2019-05-01,6.825000,6.825000,6.720000,6.750000,6.750000,8400
2019-05-02,6.670000,6.820000,6.625000,6.820000,6.820000,9000
2019-05-03,6.725000,7.075000,6.630000,6.800000,6.800000,23800
2019-05-06,6.780000,7.065000,6.710000,6.755000,6.755000,71400
2019-05-07,6.500000,6.780000,6.500000,6.770000,6.770000,16400
2019-05-08,6.685000,6.850000,6.600000,6.775000,6.775000,49800
2019-05-09,6.790000,6.790000,6.565000,6.625000,6.625000,11000
2019-05-10,6.555000,6.735000,6.500000,6.705000,6.705000,22800
2019-05-13,6.635000,6.750000,6.475000,6.695000,6.695000,16000
2019-05-14,6.550000,6.685000,6.550000,6.660000,6.660000,4200
2019-05-15,6.650000,6.695000,6.500000,6.650000,6.650000,38000
2019-05-16,6.630000,6.870000,6.455000,6.565000,6.565000,30800
2019-05-17,6.580000,6.640000,6.500000,6.605000,6.605000,61200
2019-05-20,6.495000,6.575000,6.260000,6.260000,6.260000,16400
2019-05-21,6.220000,6.500000,6.220000,6.380000,6.380000,24400
2019-05-22,6.400000,6.465000,6.385000,6.430000,6.430000,4600
2019-05-23,6.260000,6.440000,6.195000,6.325000,6.325000,10600
2019-05-24,6.450000,6.450000,6.175000,6.255000,6.255000,7000
2019-05-28,6.260000,6.350000,6.235000,6.235000,6.235000,17000
2019-05-29,6.250000,6.595000,6.250000,6.415000,6.415000,36000
2019-05-30,6.460000,6.750000,6.285000,6.700000,6.700000,15600
2019-05-31,6.525000,6.705000,6.525000,6.695000,6.695000,12600
2019-06-03,6.615000,6.745000,6.420000,6.490000,6.490000,14200
2019-06-04,6.465000,6.570000,6.465000,6.570000,6.570000,1400
2019-06-05,6.550000,6.560000,6.355000,6.360000,6.360000,14600
2019-06-06,6.415000,6.495000,6.205000,6.375000,6.375000,2200
2019-06-07,6.355000,6.400000,6.315000,6.325000,6.325000,12400
2019-06-10,6.495000,6.495000,6.495000,6.495000,6.495000,2200
2019-06-11,6.635000,6.645000,6.525000,6.605000,6.605000,51600
2019-06-12,6.605000,6.605000,6.495000,6.575000,6.575000,9400
2019-06-13,6.450000,6.530000,6.450000,6.505000,6.505000,3800
2019-06-14,6.695000,6.695000,6.380000,6.460000,6.460000,21200
