Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2.600000,2.810000,2.520000,2.520000,2.520000,2300
2018-09-11,2.520000,2.670000,2.330000,2.330000,2.330000,5500
2018-09-12,2.590000,2.590000,2.513000,2.590000,2.590000,1800
2018-09-13,2.600000,2.600000,2.420000,2.420000,2.420000,2900
2018-09-14,2.690000,2.690000,2.420000,2.420000,2.420000,1700
2018-09-17,2.390000,2.455000,2.150000,2.190000,2.190000,16000
2018-09-18,2.200000,2.200000,2.121000,2.121000,2.121000,3200
2018-09-19,2.190000,2.190000,2.060000,2.190000,2.190000,3600
2018-09-20,2.210000,2.210000,2.060000,2.080000,2.080000,6200
2018-09-21,2.100000,2.150000,2.010000,2.040000,2.040000,7200
2018-09-24,2.090000,2.130000,2.022000,2.050000,2.050000,1400
2018-09-25,2.000000,2.128000,2.000000,2.100000,2.100000,2400
2018-09-26,2.100000,2.100000,1.980000,2.020000,2.020000,9100
2018-09-27,2.010000,2.080000,1.850000,2.000000,2.000000,8600
2018-09-28,1.980000,2.100000,1.980000,1.990000,1.990000,7700
2018-10-01,2.020000,2.150000,2.020000,2.050000,2.050000,1300
2018-10-02,2.060000,2.060000,1.900000,1.970000,1.970000,7900
2018-10-03,1.911000,1.970000,1.910000,1.960000,1.960000,1600
2018-10-04,1.915000,1.915000,1.820000,1.890000,1.890000,23100
2018-10-05,1.865000,1.890000,1.850000,1.890000,1.890000,5100
2018-10-08,1.870000,1.970000,1.820000,1.970000,1.970000,7000
2018-10-09,1.940000,1.950000,1.870000,1.870000,1.870000,3500
2018-10-10,1.850000,2.050000,1.850000,1.970000,1.970000,23700
2018-10-11,1.889000,2.050000,1.889000,2.020000,2.020000,5600
2018-10-12,2.040000,2.049000,1.980000,1.980000,1.980000,700
2018-10-15,1.990000,2.044000,1.860000,1.930000,1.930000,7900
2018-10-16,1.890000,1.972000,1.820000,1.820000,1.820000,22700
2018-10-17,1.820000,1.935000,1.700000,1.770000,1.770000,100600
2018-10-18,1.770000,1.770000,1.740000,1.750000,1.750000,6000
2018-10-19,1.840000,1.840000,1.710000,1.730000,1.730000,24500
2018-10-22,1.740000,1.825000,1.740000,1.760000,1.760000,6100
2018-10-23,1.750000,1.860000,1.730000,1.730000,1.730000,4200
2018-10-24,1.740000,1.800000,1.740000,1.800000,1.800000,900
2018-10-25,1.760000,1.870000,1.670000,1.670000,1.670000,83000
2018-10-26,1.700000,1.770000,1.641000,1.770000,1.770000,27400
2018-10-29,1.719000,1.840000,1.719000,1.840000,1.840000,1000
2018-10-30,1.860000,1.860000,1.750000,1.850000,1.850000,2300
2018-10-31,1.920000,1.940000,1.730000,1.940000,1.940000,1700
2018-11-01,1.950000,1.950000,1.874000,1.874000,1.874000,2800
2018-11-02,1.849000,1.950000,1.790000,1.790000,1.790000,900
2018-11-05,1.790000,1.950000,1.749000,1.800000,1.800000,7900
2018-11-06,1.801000,1.801000,1.710000,1.720000,1.720000,10800
2018-11-07,1.740000,1.891000,1.740000,1.890000,1.890000,1300
2018-11-08,1.840000,1.840000,1.720000,1.730000,1.730000,13700
2018-11-09,1.724000,1.800000,1.700000,1.800000,1.800000,15500
2018-11-12,1.890000,2.040000,1.850000,1.990000,1.990000,24200
2018-11-13,2.008000,2.050000,1.770000,1.770000,1.770000,16200
2018-11-14,1.770000,1.770000,1.770000,1.770000,1.770000,100
2018-11-15,1.797000,1.800000,1.780000,1.800000,1.800000,4200
2018-11-16,2.039000,2.039000,2.039000,2.039000,2.039000,300
2018-11-19,2.100000,2.100000,1.865000,2.010000,2.010000,10700
2018-11-20,2.120000,2.650000,2.120000,2.513000,2.513000,201600
2018-11-21,2.500000,2.800000,2.410000,2.800000,2.800000,43800
2018-11-23,2.600000,2.780000,2.550000,2.760000,2.760000,14200
2018-11-26,2.830000,2.900000,2.732000,2.880000,2.880000,13300
2018-11-27,2.760000,2.920000,2.760000,2.900000,2.900000,28200
2018-11-28,2.880000,3.230000,2.880000,3.110000,3.110000,17200
2018-11-29,3.200000,3.420000,3.100000,3.330000,3.330000,23400
2018-11-30,3.370000,3.630000,3.300000,3.550000,3.550000,84400
2018-12-03,3.620000,3.650000,2.841000,3.620000,3.620000,56500
2018-12-04,3.620000,3.620000,3.305000,3.550000,3.550000,31400
2018-12-06,3.420000,3.510000,3.090000,3.150000,3.150000,25100
2018-12-07,3.312000,3.480000,3.065000,3.210000,3.210000,4000
2018-12-10,3.240000,3.240000,3.150000,3.150000,3.150000,2300
2018-12-11,3.170000,3.341000,3.126000,3.186000,3.186000,2800
2018-12-12,3.150000,3.190000,2.600000,2.620000,2.620000,18700
2018-12-13,2.580000,2.580000,2.300000,2.380000,2.380000,8400
2018-12-14,2.710000,2.730000,2.200000,2.430000,2.430000,18900
2018-12-17,2.730000,2.730000,2.180000,2.200000,2.200000,5600
2018-12-18,2.470000,2.515000,2.179000,2.280000,2.280000,16900
2018-12-19,2.510000,2.730000,2.365000,2.480000,2.480000,34700
2018-12-20,2.510000,2.810000,2.510000,2.790000,2.790000,27200
2018-12-21,2.820000,2.820000,2.460000,2.730000,2.730000,18800
2018-12-24,2.730000,2.730000,2.420000,2.600000,2.600000,10000
2018-12-26,2.642000,2.747000,2.480000,2.570000,2.570000,3700
2018-12-27,2.480000,2.790000,2.390000,2.540000,2.540000,12600
2018-12-28,2.420000,2.568000,2.420000,2.420000,2.420000,2800
2018-12-31,2.280000,2.570000,2.150000,2.448000,2.448000,9300
2019-01-02,2.400000,2.790000,2.225000,2.790000,2.790000,3400
2019-01-03,2.740000,2.740000,2.150000,2.150000,2.150000,3500
2019-01-04,2.150000,2.630000,2.150000,2.397000,2.397000,2300
2019-01-07,2.291000,2.350000,2.291000,2.300000,2.300000,1400
2019-01-08,2.242000,2.510000,2.220000,2.500000,2.500000,7400
2019-01-09,2.620000,2.689000,2.507000,2.550000,2.550000,4700
2019-01-10,2.650000,2.650000,2.650000,2.650000,2.650000,400
2019-01-11,2.650000,2.650000,2.410000,2.410000,2.410000,5800
2019-01-14,2.350000,2.600000,2.350000,2.600000,2.600000,300
2019-01-15,2.520000,2.520000,2.520000,2.520000,2.520000,1400
2019-01-16,2.530000,2.600000,2.260000,2.290000,2.290000,7500
2019-01-17,2.520000,2.520000,2.250000,2.270000,2.270000,1500
2019-01-18,2.520000,2.520000,2.380000,2.380000,2.380000,1500
2019-01-22,2.230000,2.230000,2.227000,2.230000,2.230000,1300
2019-01-23,2.345000,2.345000,2.300000,2.340000,2.340000,1000
2019-01-24,2.290000,2.290000,2.240000,2.240000,2.240000,1000
2019-01-25,2.320000,2.550000,2.270000,2.423000,2.423000,4500
2019-01-28,2.210000,2.219000,2.190000,2.190000,2.190000,1700
2019-01-29,2.090000,2.090000,1.840000,1.980000,1.980000,7700
2019-01-30,1.930000,1.950000,1.930000,1.950000,1.950000,1500
2019-01-31,1.880000,2.060000,1.880000,2.060000,2.060000,12300
2019-02-01,1.950000,1.950000,1.850000,1.860000,1.860000,10400
2019-02-04,1.920000,1.920000,1.850000,1.910000,1.910000,2100
2019-02-05,1.900000,1.920000,1.850000,1.850000,1.850000,3400
2019-02-06,1.940000,1.940000,1.940000,1.940000,1.940000,500
2019-02-07,1.880000,1.900000,1.829000,1.829000,1.829000,1100
2019-02-08,1.900000,1.900000,1.840000,1.840000,1.840000,700
2019-02-11,1.740000,2.060000,1.700000,1.750000,1.750000,15600
2019-02-12,1.730000,1.910000,1.720000,1.880000,1.880000,2700
2019-02-13,1.769000,1.903000,1.719000,1.850000,1.850000,3200
2019-02-14,1.810000,1.810000,1.700000,1.700000,1.700000,2700
2019-02-15,1.730000,2.050000,1.730000,1.980000,1.980000,11200
2019-02-19,2.070000,2.240000,2.060000,2.137000,2.137000,3800
2019-02-20,2.129000,2.130000,1.910000,2.050000,2.050000,26300
2019-02-21,1.970000,2.000000,1.800000,1.882000,1.882000,10500
2019-02-22,1.990000,1.991000,1.990000,1.991000,1.991000,500
2019-02-25,1.799000,2.070000,1.799000,1.880000,1.880000,4100
2019-02-26,2.050000,2.060000,2.050000,2.050000,2.050000,1300
2019-02-27,1.910000,2.040000,1.910000,2.030000,2.030000,1300
2019-02-28,2.030000,2.094000,1.830000,2.020000,2.020000,6600
2019-03-01,2.180000,2.190000,1.950000,1.950000,1.950000,2800
2019-03-04,2.070000,2.100000,1.960000,1.960000,1.960000,1600
2019-03-05,2.100000,2.100000,1.950000,1.950000,1.950000,1800
2019-03-06,1.990000,2.000000,1.990000,2.000000,2.000000,3400
2019-03-07,1.810000,1.980000,1.810000,1.980000,1.980000,800
2019-03-08,1.740000,1.890000,1.680000,1.890000,1.890000,6700
2019-03-11,1.784000,1.831000,1.710000,1.710000,1.710000,1800
2019-03-12,1.700000,1.829000,1.670000,1.750000,1.750000,6300
2019-03-13,1.710000,1.900000,1.710000,1.900000,1.900000,2900
2019-03-14,1.880000,2.000000,1.880000,2.000000,2.000000,2200
2019-03-15,1.805000,1.805000,1.805000,1.805000,1.805000,200
2019-03-18,1.809000,2.000000,1.809000,2.000000,2.000000,2200
2019-03-19,1.870000,1.960000,1.800000,1.870000,1.870000,10500
2019-03-20,2.030000,2.030000,1.855000,1.902000,1.902000,1200
2019-03-21,1.780000,1.880000,1.750000,1.880000,1.880000,2100
2019-03-22,1.730000,1.759000,1.730000,1.759000,1.759000,3600
2019-03-25,1.754000,1.825000,1.750000,1.759000,1.759000,3400
2019-03-26,1.800000,1.898000,1.800000,1.820000,1.820000,4500
2019-03-27,1.850000,1.860000,1.850000,1.850000,1.850000,3600
2019-03-28,1.783000,1.815000,1.783000,1.815000,1.815000,700
2019-03-29,2.000000,2.000000,1.759000,1.780000,1.780000,25200
2019-04-01,1.818000,1.818000,1.810000,1.810000,1.810000,800
2019-04-02,1.810000,1.910000,1.810000,1.910000,1.910000,6800
2019-04-03,1.870000,1.880000,1.858000,1.858000,1.858000,4000
2019-04-04,1.780000,1.860000,1.780000,1.860000,1.860000,2900
2019-04-05,1.860000,1.860000,1.860000,1.860000,1.860000,5900
2019-04-08,1.750000,1.850000,1.720000,1.750000,1.750000,5500
2019-04-09,1.840000,1.910000,1.774000,1.910000,1.910000,4100
2019-04-10,1.910000,1.910000,1.910000,1.910000,1.910000,300
2019-04-11,1.730000,2.000000,1.730000,1.780000,1.780000,18100
